A
Steven "Lenky" Marsden
Larry Marshall
Wayne Marshall
Junior Marvin
Jah Mason
Massilia Sound System
Massive Dread
Matisyahu
Matumbi
Mavado
The Maytals
The Maytones
Tommy McCook
Freddie McGregor
Freddie McKay
Bitty McLean
Enos McLeod
The Meditations
The Melodians
Mellow Mood
Merger
Peter Metro
The Mexicano
Me & You
Michigan & Smiley
Midnite
The Mighty Diamonds
Mighty Mystic
Mikey Dread
Jacob Miller
Millie
Sugar Minott
Mishka
Misty in Roots
Jackie Mittoo
Fantan Mojah
Derrick Morgan
Morgan Heritage
The Morwells
Pablo Moses
Judy Mowatt
The Movement
Mr. Vegas
Hugh Mundell
Junior Murvin
Mungo's Hi Fi
Musical Youth
Mutabaruka
Cedric Myton
N
Fidel Nadal
Nando Boom
Johnny Nash
Natty Nation
Natural Vibrations ("Natty Vibes")
Natiruts
Natural Black
New Kingston
Nicodemus
Nigger Kojak
Ninjaman
Nitty Gritty
George Nooks
No-Maddz
O
Oku Onuora
Opihi Pickers
Jackie Opel
O Rappa
O-Shen
Johnny Osbourne
P
Augustus Pablo
Triston Palma
Pan Head
Papa Dee
Papa San
The Paragons
Ken Parker
Lloyd Parks
Passafire
Patra
Frankie Paul
Sean Paul
Dawn Penn
Pepper
Lee "Scratch" Perry
Pinchers
Dwight Pinkney
The Pioneers
Pliers
Jukka Poika
Popcaan
Pressure Buss Pipe
Maxi Priest
Prince Allah
Prince Buster
Prince Far I
Prince Jazzbo
Prince Lincoln Thompson
Prince Mohammed
Professor Nuts
Michael Prophet
Protoje
Kabaka Pyramid
The Pyramids
Q
Finley Quaye
Queen Ifrica
Queen Omega
R
Raappana
Ernest Ranglin
Ranking Dread
Ranking Joe
Ranking Roger
Ranking Trevor
Cutty Ranks
Gappy Ranks
Shabba Ranks
The Rastafarians
RAS-1
Ras Michael
Ras Midas
Ras Mohammed
Ras Shiloh
Rayvon
Tony Rebel
Rebelution
Red Dragon
Red Rat
Winston Reedy
Junior Reid
The Revolutionaries
Rhythm & Sound
Cynthia Richards
Jimmy Riley
Tarrus Riley
Winston Riley
Johnny Ringo
Rico Rodriguez
Max Romeo
Gene Rondo
The Roots Radics
Levi Roots
Michael Rose
Jesse Royal
The Royals
The Rudies
Bruce Ruffin
Devon Russell
S
Natasja Saad
Sams'K Le Jah
Sanchez
Steven Seagal
Scientist
Errol Scorcher
Scotty
Screwdriver
B.B. Seaton
Seeed
The Selecter
Serani
Sevana
Shaggy}}
Bim Sherman
Pluto Shervington
Shinehead
Roy Shirley
Shrub
Garnett Silk
The Silvertones
Simplicity
Sister Carol
Sister Nancy
Sizzla. Skanking Lizard
The Slackers
Slightly Stoopid
The Slickers
Sly and Robbie
Leroy Smart
Smiley Culture
Earl "Chinna" Smith
Ernie Smith
Mikey Smith
Slim Smith
Wayne Smith
Snoop Lion
Snow
SOJA
Soul Syndicate
Soul Rebels Brass Band
The Specials
Spectacular
Spice
Mikey Spice
Richie Spice
Steel Pulse
Steely & Clevie
Richie Stephens
Tanya Stephens
Duane Stephenson
Lester Sterling
Roman Stewart
Tinga Stewart
Stick Figure
Sublime
Super Cat
Symarip
T
311
Lynn Taitt
The Tamlins
Rod Taylor
The Techniques
The Tennors
Thievery Corporation
Tenor Saw
Tiger
Third World
Jah Thomas
Nicky Thomas
Caroll Thompson
Kemar Thompson (a.k.a. "Noncowa" and "Jr. Pinchers")
Lincoln Thompson
Linval Thompson
Eddie Thornton (a.k.a. "Tan Tan")
Thriller U
Through The Roots
T.O.K.
Tomorrows Bad Seeds
Toots & the Maytals
Andrew Tosh
Peter Tosh
Toyan
Tradition
Tribal Seeds
Tribo de Jah
Trinity
Tropical Depression
Tropidelic
Twenty One Pilots
Junior Tucker
Twinkle Brothers
U
UB40
The Uniques
Unity Pacific
The Upsetters
U-Roy
V
Vavamuffin
Vibronics
The Viceroys
Romain Virgo
Voice Mail
Vybz Kartel
W
Warrior King
Wayne Wade
Bunny Wailer
The Wailers (Bob Marley & The Wailers)
The Wailing Souls
Josey Wales
Leroy Wallace
Ward 21
E.T. Webster
Caron Wheeler
Wayne Rhoden
Worl-A-Girl
Willi Williams
Delroy Wilson
Wingless Angels
Wayne Wonder
Word, Sound and Power
Winston Wright
Y
Yabby You
Yaadcore
Yellowman
Z
Zap Pow
Benjamin Zephaniah
Earl Zero
Zion Train
Zox
Tapper Zukie
