INDIE POP ARTSITS:
+/-
Sabrina Carpenter
14 Iced Bears
The 1975
A
A Witness
A.R. Kane
Aberdeen
Aberfeldy
Gracie Abrams
The ACBs
The Aces
Acid House Kings
Agent Sparks
AgesandAges
Lydia Ainsworth
The Aislers Set
AJR
Aldous Harding
Alex G
All Girl Summer Fun Band
Allie X
Allo Darlin'
Aloha
Alt-J
AlunaGeorge
Alvvays
Amber Run
American Authors
Anathallo
Andrew McMahon in the Wilderness
Michael Angelakos
Animal Liberation Orchestra
Anjulie
Annie
Annuals
Another Sunny Day
Jack Antonoff
Apostle of Hustle
Post Malone
Laufey
Fiona Apple
The Apples in Stereo
April Lawlor
Aqueduct
Architecture in Helsinki
Arlissa
Mira Aroyo
Ashnikko
As Tall As Lions
Astrid
Astrud
Au Revoir Simone
Aude
The Auteurs
The Awkward Stage
Awolnation
Aztec Camera
B
Baby Calendar
The Bad Spellers
Julien Baker
Ballboy
Banks
BARON.E
Bat for Lashes
The Bats
Bastille
Baustelle
beabadoobee
Beach House
Beach Bunny
Bearsuit
Beat Crusaders
Beat Happening
The Beat Movement
Beehive
Beirut
Bella
Giselle Bellas
Belle and Sebastian
BENEE
Brendan Benson
Best Coast
Beulah
Biff Bang Pow!
The Big Pink
Billie the Vision and the Dancers
The Bird and the Bee
Birdy
Bis
Bishop Briggs
Björk
Black Belt Eagle Scout
Black Kids
Black Tambourine
Emma Blackery
Sarah Blasko
Bleachers
Blind Pilot
Blitzen Trapper
Blondfire
Blood Orange
Blossoms
Blueboy
BMX Bandits
The Boat People
Bob
The Bohemes
The Bolts
Bombay Bicycle Club
Bon Iver
Bon Voyage
Born Ruffians
BØRNS
Butterfly Boucher
Boy Kill Boy
The Boy Least Likely To
Boy Pablo
BoyWithUke
Phoebe Bridgers
The Brobecks
Broder Daniel
Broken Social Scene
The Broken West
Broods
Brother Henry
The Brother Kite
Ian Broudie
VV Brown
Bo Bruce
The Brunettes
Jeff Buckley
Basia Bulat
Bunnygrunt
Jaira Burns
Kate Bush
Butcher Boy
Bruno Mars
ByeAlex
C
Camera Obscura
Isobel Campbell
Los Campesinos!
Capital Cities
The Capstan Shafts
Alessia Cara
The Cardigans
Casiotone for the Painfully Alone
Casper And The Cookies
Cat Power
Catchers
Caveboy
Cavetown
Michael Cera
Chairlift
The Chameleons
Chappell Roan
Charli XCX
Charlz
Chase Atlantic
Cheer Chen
The Chesterfields
Chicklet
The Chills
Chin Up Chin Up
Chocolate USA
The Choir Practice
Christine and the Queens
Chromatics
CHVRCHES
Cigarettes After Sex
Circulatory System
City & Colour
Clairo
Cosmo Sheldrake
Clap Your Hands Say Yeah
Allen Clapp
Dodie Clark
The Clean
The Clientele
Client Liaison
Close Lobsters
Cloud Cult
Club 8
Coast Modern
Jarvis Cocker
Cocteau Twins
Coeur de pirate
Jason Collett
Comet Gain
The Concretes
Imani Coppola
The Corn Dollies
Copeland
Crayon
The Crayon Fields
Crocodiles
Dan Croll
CRUISR
Crumb
Cub
Cuco
Cults
Custard
Cut Off Your Hands
Coin
D
Lucy Dacus
Dagny
Danielson Famile
Dappled Cities Fly
The Darling Buds
Dash and Will
Daughter (band)
Zella Day
Daya
Dayglow
Indigo De Souza
Dealership
Dear and the Headlights
Death Cab for Cutie
The Decemberists
Darwin Deez
Helena Deland
The Delgados
Mac DeMarco
The Dentists
Dev
Diamond Rings
Neva Dinova
The Dirty Clergy
The Ditty Bops
The Divine Comedy
