ALT ROCK ARTISTS:

0–9
44
3 Doors Down
4 Non Blondes
8stops7
10 Years
12 Stones
13 Engines
54-40
The 77s
311
The 1975
10000 Maniacs
A
A
A Day to Remember
A Perfect Circle
A Rocket to the Moon
A Silent Film
Aaroh
Abandon Kansas
Abandoned Pools
The Academy Is...
Acceptance
Acroma
Adam Again
Adam Gontier
Adema
The Afghan Whigs
AFI
After Midnight Project
Against Me!
Against the Current
Age of Chance
Airborne
Alanis Morissette
The Alarm
Alex Clare
Alice in Chains
Alien Ant Farm
Alkaline Trio
The All-American Rejects
All Time Low
The Almost
Alpha Rev
Alt-J
Alter Bridge
American Authors
American Hi-Fi
American Standards
Amplifier
Anathema
Anberlin
Andy Biersack
Angels & Airwaves
APB
The Apex Theory
Arcade Fire
Arcane Roots
Architecture in Helsinki
Arctic Monkeys
Area 11
Arkells
Armor For Sleep
ArmsBendBack
Art of Anarchy
As Tall As Lions
Ash
Asian Kung-Fu Generation
At the Drive-In
The Ataris
Athlete
Atlas Genius
Atom Smash
Audioslave
The Auteurs
Autolux
Avril Lavigne
Awolnation
B
B-52s
Babes in Toyland
Baby Chaos
The Backseat Lovers
Bad Books
Bad Suns
Badflower
Balance and Composure
Band of Horses
Barenaked Ladies
Baryonyx
Bastille
Battles
Bayside
Be Your Own Pet
Beady Eye
Beastie Boys
Beatsteaks
Beck
Beirut
Belly
Ben Folds Five
Ben Kweller
Beth Orton
Better Than Ezra
Beware of Darkness
Biffy Clyro
Big Black
Big Dipper
Big Wreck
The Big Pink
Billy Corgan
Billy Talent
Birds of Tokyo
Björk
Blackfield
Black Kids
Black Light Burns
Black Rebel Motorcycle Club
Bleachers
Blind Melon
Blind Pilot
Blindside
Blink-182
Bloc Party
Blonde Redhead
Blood Red Shoes
Bloodhound Gang
Blue October
Blumfeld
Blues Traveler
Blur
Bôa
Bob Mould
Bodyjar
Bon Iver
Bowling For Soup
Boys Like Girls
Bracket
Brand New
Brandon Flowers
Breaking Benjamin
The Breeders
Bring Me the Horizon
Broder Daniel
The Buck Pets
Buffalo Tom
Bully
Bush
Butthole Surfers
C
The Cab
Cage the Elephant
Cake
The Calling
Camper Van Beethoven
Candlebox
Canterbury
Carbon Leaf
Cartel
Carter the Unstoppable Sex Machine
Catatonia
Catherine
Catherine Wheel
Cave In
Cherri Bomb
Chevelle
Chris Cornell
Chumbawamba
Circa Survive
Citizen Cope
Civil Twilight
The Classic Crime
Coheed and Cambria
Cold
Cold War Kids
Coldplay
Collective Soul
Concrete Blonde
The Connells
The Constellations
Copeland
Counting Crows
The Cranberries
Crash Test Dummies
Creed
Crossfade
The Cure
Curve
D
The Dandy Warhols
Dark New Day
Das Damen
Dashboard Confessional
Dave Matthews Band
Dave Navarro
Days Of The New
Deacon Blue
Dead by Sunrise
Dead Letter Circus
Dead Poetic
Dead Sara
Deaf Havana
Deep Blue Something
Default
Deftones
Demon Hunter
Depeche Mode
Dinosaur Jr.
Dishwalla
doubleDrive
Dredg
Drill
Duran Duran
Dutch Uncles
E
Eagle-Eye Cherry
The Early November
Eddie Vedder
Editors
Eels
Eisley
Elbow
Electrasy
Eleventh Dream Day
The Elms
Elvis Costello
Emery
Enter Shikari
Envy on the Coast
Eraserheads
Evanescence
Evans Blue
Eve 6
Everclear
Everything Everything
The Exies
The Exit
F
Failure
Faith No More
The Fall
Fall Out Boy
Far-Less
Fastball
Fatboy Slim
Fatherson
Feeder
Feist
Fiction Plane
Fightstar
Filter
Finch
Finger Eleven
Fiona Apple
Fishbone
Five For Fighting
The Flaming Lips
Foo Fighters
The Format
Forty Foot Echo
Fountains of Wayne
Franz Ferdinand
The Fray
Fuel
Fugazi
Fun Lovin Criminals
Funeral For A Friend
Further Seems Forever
G
The Gandharvas
Garbage
The Get Up Kids
Gin Blossoms
Glasvegas
Gnarls Barkley
The God Machine
Godsmack
The Golden Palominos
Gomez
Goo Goo Dolls
Good Charlotte
Gorillaz
Gotye
Grant Lee Buffalo
The Grapes of Wrath
Grayscale
Greek Fire
Green Day
The Gufs
Guided by Voices
Guster
H
Half Moon Run
Halestorm
HalfNoise
Happy Mondays
Hawksley Workman
Hawthorne Heights
Headstones
Hidden In Plain View
HIM
The Hives
Holding Absence
Hoobastank
Hootie & The Blowfish
Hopesfall
Hot Hot Heat
Hum
Hundred Reasons
Hurt
Hüsker Dü
I
I Love You But I've Chosen Darkness
Idlewild
I Dont Know How But They Found Me
Ima Robot
Imogen Heap
Incubus
Injected
The Innocence Mission
Institute
Interpol
Island of Love
Ivoryline
J
Jack White
Jack's Mannequin
Jaguares
James
James Iha
Jane's Addiction
Jars of Clay
Jellyfish
Jerry Cantrell
The Jesus and Mary Chain
Jesus Jones
Jet
Jimmie's Chicken Shack
Jimmy Eat World
Jitters
John Butler Trio
Joywave
The Joy Formidable
The JudyBats
Julian Cope
Juliana Hatfield
The Juliana Theory
July Talk
Jump Little Children
K
K's Choice
Kaiser Chiefs
Kaizers Orchestra
KALEO
Kane
Kara's Flowers
Karnivool
Kasabian
Keane
KennyHoopla
Kent
Kevin Devine
Kill Hannah
The Killers
The Kills
King Charles
Kings Kaleidoscope
Kings of Leon
Kitchens of Distinction
Klaxons
KMFDM
Kodaline
KONGOS
The Kooks
KoЯn
Kula Shaker
Kutless
L
